year,rate,Norm
1987,47.143,0.357143939
1969,47.141,0.357128788
1975,47.13358505,0.357072614
1960,47.11837758,0.356957406
1982,47.117,0.35694697
1974,47.112,0.356909091
1966,47.112,0.356909091
1964,47.111,0.356901515
1982,47.111,0.356901515
1989,47.105,0.356856061
1975,47.103,0.356840909
1971,47.102,0.356833333
1962,47.1,0.356818182
1968,47.099,0.356810606
1970,47.098,0.35680303
1975,47.097,0.356795455
1978,47.088,0.356727273
2006,47.083,0.356689394
1971,47.083,0.356689394
1965,47.083,0.356689394
1987,47.078,0.356651515
1979,47.077,0.356643939
1961,47.064,0.356545455
1985,47.061,0.356522727
1974,47.056,0.356484848
1965,47.055,0.356477273
1970,47.053,0.356462121
1970,47.05250512,0.356458372
1977,47.05,0.356439394
1981,47.049,0.356431818
1970,47.046,0.356409091
1960,47.04385068,0.356392808
1967,47.042,0.356378788
1988,47.041,0.356371212
1976,47.039,0.356356061
1966,47.038,0.356348485
2007,47.023,0.356234848
1979,47.017,0.356189394
1982,47.016,0.356181818
1971,47.016,0.356181818
1969,47.014,0.356166667
1969,47.014,0.356166667
1966,47.011,0.356143939
1965,47.001,0.356068182
1975,46.998,0.356045455
1960,46.996,0.356030303
1972,46.996,0.356030303
1976,46.995,0.356022727
1982,46.991,0.355992424
1968,46.991,0.355992424
1967,46.989,0.355977273
1980,46.985,0.35594697
1977,46.977,0.355886364
1973,46.971,0.355840909
1980,46.968,0.355818182
1963,46.967,0.355810606
1972,46.965,0.355795455
1977,46.963,0.355780303
1979,46.961,0.355765152
2005,46.96,0.355757576
1994,46.958,0.355742424
1975,46.956,0.355727273
1975,46.952,0.35569697
1973,46.949,0.355674242
1974,46.945,0.355643939
1973,46.94,0.355606061
2003,46.936,0.355575758
1974,46.935,0.355568182
1960,46.929,0.355522727
1989,46.926,0.3555
1960,46.925,0.355492424
1979,46.919,0.35544697
1980,46.917,0.355431818
